Student ID,Student Name,Gender,Age,Class,Section,City,Maths,Science,English,SocialScience,Computer,Total marks,Attendance(%),Result
Std1457,Amit,Male,12,10,A,Delhi,23,73,78,0,89,263,95,Pass
Std1458,Priya,Female,11,8,C,Chennai,46,80,61,80,36,303,65,Pass
Std1460,John,Male,10,8,B,Hyderabad,25,63,3,31,85,207,99,Pass
Std1462,Sara,Female,10,9,B,Delhi,14,65,83,88,48,298,65,Pass
Std1467,David,Male,10,10,A,Chennai,81,21,6,49,40,197,97,Fail
Std1478,Priya,Female,15,10,A,Delhi,79,94,33,66,81,353,60,Pass
Std1486,John,Male,10,8,B,Mumbai,10,46,73,62,94,285,66,Pass
Std1488,Priya,Female,18,10,C,Mumbai,17,19,62,96,25,219,90,Pass
Std1492,Priya,Female,10,8,C,Mumbai,39,10,0,2,37,68,53,Fail
Std1493,Priya,Female,10,9,C,Hyderabad,14,91,54,29,57,245,92,Pass
Std1496,David,Male,16,9,C,Delhi,88,53,84,16,9,250,65,Pass
