Student ID,Student Name,Gender,Age,Class,Section,City,Maths,Science,English,SocialScience,Computer,Column1,Attendance(%),Result
Std1080,,Male,18,9,A,,29,94,89,5,30,247,93,Pass
Std1081,John,Male,10,9,C,Chennai,27,83,47,54,0,211,99,Pass
Std1082,Amit,Male,17,9,B,Mumbai,88,96,58,10,1,253,61,
Std1083,,Male,11,9,A,Mumbai,72,31,95,87,85,370,79,
Std1084,Priya,Female,15,9,B,Chennai,60,38,10,55,11,174,57,Pass
Std1085,,Female,14,8,A,Delhi,34,4,74,25,14,151,94,Pass
Std1086,Amit,Male,15,9,C,Delhi,5,57,12,80,73,227,83,Pass
Std1087,Sara,Unknown,11,8,C,Mumbai,9,33,64,18,85,209,79,Fail
Std1088,John,Male,16,10,,Chennai,87,44,17,76,63,287,70,Pass
Std1089,Sara,Female,18,9,A,Chennai,35,11,81,33,19,179,94,Pass
Std1090,Priya,Female,10,10,,Hyderabad,69,56,50,40,11,226,50,Fail
Std1091,,Female,,8,A,,72,15,9,93,99,288,50,
Std1092,John,Male,18,10,C,Delhi,84,99,75,8,65,331,93,Pass
Std1093,Priya,Female,17,9,A,Delhi,4,30,72,11,9,126,63,
Std1094,John,Male,16,9,B,Hyderabad,22,26,7,49,92,196,74,Pass
Std1095,John,Male,10,8,C,Delhi,40,94,55,71,92,352,87,Pass
Std1096,Priya,Female,13,9,C,Delhi,2,75,84,50,12,223,56,
Std1097,Priya,Female,18,9,A,Hyderabad,26,88,16,70,32,232,70,Pass
Std1098,John,Male,15,9,C,Chennai,75,44,30,41,82,272,73,Pass
Std1099,Priya,Female,10,9,C,Delhi,18,90,37,35,29,209,89,Pass
Std1100,Priya,Female,17,9,A,Mumbai,96,78,33,66,58,331,66,Pass
Std1101,Priya,Female,,9,C,Chennai,91,80,40,58,37,306,61,Pass
Std1102,Amit,Male,17,8,A,Delhi,50,54,50,1,33,188,85,Pass
Std1103,David,Male,10,9,A,,9,21,89,100,59,278,66,Pass
Std1104,Priya,Female,13,9,A,Hyderabad,38,78,94,89,6,305,65,Fail
Std1105,Priya,Female,14,9,A,,20,17,41,79,12,169,67,Pass
Std1106,David,Male,18,10,C,Chennai,72,100,40,75,22,309,80,Pass
Std1107,Priya,Female,12,8,B,,30,26,57,66,5,184,89,Fail
Std1108,Priya,Female,14,9,A,Delhi,72,26,34,100,37,269,71,
Std1109,Priya,Female,17,10,A,Mumbai,49,7,29,53,46,184,73,Fail
Std1110,Sara,Female,17,9,C,,86,72,9,14,86,267,61,Fail
Std1111,Sara,Female,11,10,,Chennai,69,44,25,53,40,231,81,Fail
Std1112,John,Male,10,10,C,Chennai,42,68,17,19,54,200,77,Fail
Std1113,Priya,Female,,10,A,Delhi,49,35,99,18,94,295,63,
Std1114,Priya,Female,10,8,A,,96,76,98,72,14,356,76,Pass
Std1115,David,Male,13,9,A,Delhi,94,68,74,75,12,323,94,Pass
Std1116,Priya,Female,12,9,A,Delhi,17,21,13,74,97,222,98,
Std1117,Priya,Female,14,9,,Delhi,,41,19,97,5,162,73,
Std1118,John,Male,18,8,B,,88,90,13,12,1,204,73,Pass
Std1119,,Unknown,10,8,,Hyderabad,92,37,21,13,17,180,75,Fail
Std1120,,Unknown,18,8,C,Hyderabad,10,37,57,72,84,260,67,Fail
Std1121,,Male,16,9,C,Delhi,64,73,59,99,82,377,78,
Std1122,Amit,Male,11,8,A,Chennai,95,34,40,12,21,202,61,Pass
Std1123,Priya,Female,13,9,A,Mumbai,44,65,52,100,42,303,86,Fail
Std1124,,Male,11,8,C,Hyderabad,6,86,15,36,45,188,58,
Std1125,Amit,Male,17,8,C,,12,12,68,68,56,216,86,Pass
Std1126,,Male,11,8,C,Mumbai,55,17,45,44,79,240,93,Pass
Std1127,John,Male,,9,A,Delhi,29,96,98,52,34,309,64,Pass
Std1128,Sara,Female,12,9,,Delhi,9,100,26,33,93,261,200,Pass
Std1129,John,Male,17,8,A,Hyderabad,43,52,57,49,11,212,56,
Std1130,Amit,Male,14,8,B,Chennai,77,7,39,83,47,253,96,
Std1131,Priya,Female,18,8,A,Delhi,98,35,59,62,43,297,67,Pass
Std1132,David,Male,14,10,C,Mumbai,78,83,33,73,23,290,,Fail
Std1133,Priya,Female,16,9,A,Chennai,76,16,15,77,14,198,65,Fail
Std1134,John,Male,17,10,A,Hyderabad,50,89,11,60,51,261,85,
Std1135,Priya,Female,17,10,C,Delhi,99,16,20,4,51,190,77,Pass
Std1136,Priya,Female,13,9,,Hyderabad,41,31,87,22,58,239,74,Pass
Std1137,Sara,Female,17,10,A,Chennai,3,18,38,35,34,128,62,
Std1138,Sara,Female,18,9,C,Chennai,81,91,90,51,49,362,59,
Std1139,Priya,Female,12,9,A,Chennai,34,41,89,18,88,270,,
Std1140,Sara,Female,16,8,A,Delhi,100,31,77,79,61,348,97,Pass
Std1141,Priya,Female,13,8,A,,57,97,5,77,53,289,59,Pass
Std1142,John,Male,10,9,C,Delhi,62,86,27,87,83,345,80,Pass
Std1143,Priya,Female,18,9,,Mumbai,29,50,41,88,21,229,,Pass
Std1144,Priya,Female,12,9,B,Chennai,45,62,18,51,14,190,50,Fail
Std1145,Priya,Female,11,8,A,,70,18,11,4,16,119,61,Pass
Std1146,David,Male,14,8,B,Chennai,48,73,91,50,89,351,76,Pass
Std1147,David,Male,16,8,,,55,80,31,42,92,300,81,Pass
Std1148,John,Male,15,10,A,Delhi,23,34,45,88,7,197,58,Fail
Std1149,Priya,Female,18,8,A,Mumbai,87,80,50,30,20,267,90,Fail
Std1150,David,Male,14,8,B,,74,53,65,6,13,211,83,Pass
Std1151,Sara,Female,10,8,A,Mumbai,84,48,6,95,53,286,84,Pass
Std1152,David,Male,14,8,B,Hyderabad,48,57,86,60,75,326,96,Pass
Std1153,Sara,Female,14,9,C,Chennai,10,9,38,34,61,152,70,Fail
Std1154,John,Male,10,8,C,Delhi,98,81,33,47,72,331,100,Pass
Std1155,Priya,Female,10,8,A,Hyderabad,79,,22,2,86,189,81,Pass
Std1156,Priya,Female,,10,,,37,98,3,43,56,237,69,
Std1157,David,Male,17,9,A,Delhi,120,11,51,,23,205,66,Pass
Std1158,Sara,Female,12,9,,,31,51,57,38,78,255,85,Fail
Std1159,Amit,Male,17,8,B,Chennai,91,65,71,39,48,314,86,Fail
Std1160,,Female,18,10,A,,9,95,95,35,99,333,53,Pass
Std1161,Amit,Male,17,8,C,Mumbai,10,35,70,62,45,222,75,Pass
Std1162,,Female,15,8,C,,34,88,31,89,78,320,56,Fail
Std1163,Amit,Male,15,10,A,Chennai,19,47,12,87,3,168,94,Fail
Std1164,Priya,Female,18,9,A,Chennai,48,58,59,12,87,264,60,Pass
Std1165,Priya,Female,18,9,,Delhi,91,62,13,29,93,288,53,Pass
Std1166,Priya,Female,16,9,B,Delhi,100,41,,17,16,174,63,Pass
Std1167,,Female,17,8,,Delhi,81,74,17,38,61,271,200,
Std1168,Priya,Female,15,9,C,Delhi,19,0,15,95,62,191,66,Fail
Std1169,Sara,Female,13,9,A,Hyderabad,94,99,1,56,14,264,80,Pass
Std1170,David,Male,13,10,C,Delhi,49,93,7,99,52,300,90,Pass
Std1171,Amit,Male,10,8,C,Hyderabad,40,11,99,41,56,247,56,
Std1172,Sara,Female,16,9,B,,46,93,28,34,5,206,78,Fail
Std1173,Sara,Female,13,8,A,Delhi,13,58,16,93,8,188,97,
Std1174,David,Male,16,9,A,Chennai,11,81,25,53,33,203,71,Pass
Std1175,Sara,Female,10,8,B,Hyderabad,0,85,51,77,83,296,66,Pass
Std1176,David,Male,15,8,A,,39,89,47,82,40,297,73,Pass
Std1177,John,Female,17,9,,Delhi,56,45,87,11,1,200,73,
Std1178,David,Female,16,10,A,Hyderabad,46,8,80,24,90,248,85,Pass
Std1179,,Unknown,16,9,,Delhi,97,,82,56,86,321,85,Pass
Std1180,Amit,Unknown,,9,A,,34,68,10,27,67,206,,Pass
Std1181,Priya,Unknown,,10,C,Delhi,13,50,74,52,98,287,66,Pass
Std1182,Priya,Male,12,10,C,Delhi,16,27,75,94,95,307,72,
Std1183,Amit,Female,17,10,A,,11,54,33,62,73,233,51,
Std1184,Priya,Unknown,10,8,B,Delhi,23,27,9,97,92,248,76,Pass
Std1185,David,Unknown,12,8,,Mumbai,55,63,2,66,72,258,57,Fail
Std1186,,Female,18,8,C,Delhi,57,34,8,47,28,174,72,Pass
Std1187,John,Unknown,10,9,A,Hyderabad,71,41,25,7,85,229,93,
Std1188,,Female,15,8,B,Delhi,71,36,82,65,43,297,88,Pass
Std1189,Priya,Female,11,9,A,,65,43,56,,66,230,62,Pass
Std1190,John,Female,17,9,B,Chennai,52,70,16,20,66,224,86,Pass
Std1191,Amit,Female,11,8,A,Mumbai,13,73,11,8,88,193,86,Pass
Std1192,John,Male,18,9,A,Delhi,3,16,42,39,89,189,91,Fail
Std1193,Sara,Female,17,9,B,Mumbai,11,72,15,90,79,267,91,Pass
Std1194,Priya,Male,10,9,A,Mumbai,45,62,5,64,12,188,84,Fail
Std1195,Sara,Unknown,12,9,A,Delhi,70,100,59,51,55,335,61,Fail
Std1196,Amit,Female,16,9,C,Delhi,11,43,6,17,84,161,99,Pass
Std1197,Priya,Female,,9,C,Delhi,76,87,21,99,93,376,68,
Std1198,Priya,Male,12,10,A,Delhi,76,97,73,67,31,344,72,
Std1199,John,F,11,8,,Delhi,100,6,55,72,61,294,70,Pass
Std1200,David,Male,17,8,,Delhi,41,5,92,3,44,185,93,Fail
Std1201,,Male,14,8,C,Delhi,49,12,50,22,84,217,82,
Std1202,Priya,Female,15,8,C,Chennai,1,80,63,24,86,254,81,Pass
Std1203,David,Male,10,8,B,Delhi,37,100,3,25,82,247,99,
Std1204,Amit,Male,16,8,B,Hyderabad,52,58,48,7,49,214,97,Fail
Std1205,,Male,,8,C,Mumbai,49,2,87,31,19,188,78,Fail
Std1206,Priya,Unknown,11,8,,,99,15,54,4,71,243,55,Pass
Std1207,John,Male,15,10,B,Delhi,10,20,22,58,78,188,74,Pass
Std1208,,Female,,9,A,,92,56,45,6,6,205,89,
Std1209,Priya,Female,18,8,B,Delhi,71,58,27,46,1,203,68,Pass
Std1210,David,Female,16,9,B,Hyderabad,31,0,23,90,82,226,79,
Std1211,David,Female,15,8,B,Mumbai,73,54,35,25,20,207,90,Pass
Std1212,Priya,Female,,9,A,Delhi,66,25,35,35,64,225,59,Pass
Std1213,Priya,Female,17,9,A,Hyderabad,21,88,57,47,60,273,60,
Std1214,John,Male,18,8,C,Mumbai,87,16,19,59,63,244,90,
Std1215,,Female,10,10,,Hyderabad,48,83,4,64,21,220,,Fail
Std1216,Priya,Female,10,8,,Delhi,21,38,78,50,9,196,71,Fail
Std1217,David,Male,11,8,C,Delhi,17,20,79,81,96,293,76,
Std1218,,Unknown,13,8,A,Hyderabad,34,35,78,15,62,224,90,Fail
Std1219,David,Female,,10,,Hyderabad,38,11,31,87,41,208,89,
Std1220,Amit,Female,,9,B,Delhi,34,83,82,3,30,232,86,
Std1221,David,Male,14,9,,Mumbai,63,46,37,30,42,218,75,Fail
Std1222,John,Female,13,8,A,Delhi,18,32,63,47,35,195,54,Fail
Std1223,Sara,Female,11,9,A,Hyderabad,8,10,52,62,6,138,55,Fail
Std1224,Amit,Female,16,10,C,,21,47,70,76,64,278,60,Pass
Std1225,Amit,Unknown,11,8,A,Chennai,55,85,61,57,28,286,71,Pass
Std1226,John,Male,,8,A,,35,83,7,22,70,217,64,
Std1227,,Unknown,11,8,,Mumbai,53,21,11,60,82,227,70,Pass
Std1228,,Female,17,9,A,Hyderabad,38,6,35,75,48,202,70,Pass
Std1229,John,Female,12,8,A,Chennai,61,50,49,70,51,281,91,Pass
Std1230,Priya,Male,14,9,,Mumbai,100,80,17,44,30,271,68,
Std1231,Amit,Male,10,8,A,,9,39,53,44,10,155,95,
Std1232,Priya,Male,10,9,B,Delhi,46,92,25,20,58,241,67,Pass
Std1233,David,Female,15,8,C,Delhi,32,89,82,33,56,292,88,Pass
Std1234,Amit,Female,10,8,A,Mumbai,31,96,67,95,73,362,91,Fail
Std1235,Amit,Unknown,14,10,A,Mumbai,92,29,31,88,57,297,75,Pass
Std1236,Priya,Unknown,15,9,A,Hyderabad,80,54,80,11,11,236,67,Pass
Std1237,Sara,Unknown,15,10,,Chennai,63,83,69,36,63,314,78,Pass
Std1238,,Female,16,9,C,,76,11,,3,57,147,99,Pass
Std1239,Amit,Female,12,10,B,Mumbai,78,90,2,49,40,259,73,Fail
Std1240,,Female,13,9,,Delhi,25,12,48,6,15,106,97,Pass
Std1241,David,Male,18,8,,Mumbai,58,0,100,20,63,241,87,
Std1242,,Female,16,9,B,Mumbai,13,27,91,73,95,299,83,Fail
Std1243,Priya,Female,10,9,B,Hyderabad,17,61,45,99,83,305,78,
Std1244,Priya,Male,,8,A,Mumbai,38,9,61,27,2,137,76,Pass
Std1245,Priya,Female,12,9,,Chennai,0,16,69,28,13,126,60,Fail
Std1246,Sara,Male,12,9,A,Hyderabad,50,75,100,82,51,358,61,Fail
Std1247,David,Female,12,9,A,Delhi,42,28,62,28,52,212,51,Pass
Std1248,Priya,Female,11,10,,Delhi,79,66,44,86,4,279,58,Fail
Std1249,John,Female,10,10,B,,48,87,72,26,71,304,96,Pass
Std1250,David,Female,16,9,C,,120,56,64,34,70,344,65,Pass
Std1251,,Unknown,10,9,B,,42,1,41,83,0,167,92,Pass
Std1252,David,Unknown,,9,B,Hyderabad,56,1,49,52,11,169,66,Fail
Std1253,Sara,Male,13,9,C,Chennai,42,89,34,65,,230,97,Fail
Std1254,Priya,Female,17,8,B,Hyderabad,55,43,23,2,77,200,94,Pass
Std1255,David,Unknown,10,9,C,Hyderabad,83,15,3,99,79,279,97,Pass
Std1256,,Unknown,12,10,,Hyderabad,76,54,40,98,81,349,55,Pass
Std1257,Priya,Male,13,9,C,Hyderabad,17,88,76,87,38,306,63,Pass
Std1258,Priya,Male,17,9,A,Mumbai,38,16,28,1,65,148,60,Pass
Std1259,Priya,Female,,9,C,,41,61,3,60,71,236,75,
Std1260,Priya,Female,14,9,B,,77,9,99,16,26,227,56,
Std1261,John,Female,17,9,,Delhi,88,29,35,82,83,317,56,Pass
Std1262,Sara,Female,14,8,C,Delhi,25,49,7,22,85,188,54,Pass
Std1263,Priya,Male,,9,B,,61,11,60,76,58,266,80,Fail
Std1264,Priya,Male,10,9,C,Chennai,40,93,67,1,43,244,85,Fail
Std1265,John,Female,17,8,,Mumbai,22,13,45,28,46,154,53,Fail
Std1266,Sara,Male,14,8,,Delhi,50,13,98,32,6,199,51,Pass
Std1267,David,Female,,9,A,Delhi,40,40,74,77,28,259,99,
Std1268,Sara,Female,18,9,,Hyderabad,37,47,29,39,58,210,75,Fail
Std1269,Amit,Male,12,8,B,Delhi,94,38,20,91,42,285,83,Pass
Std1270,Priya,Male,11,8,,Delhi,88,17,12,90,71,278,98,
Std1271,Priya,Female,17,9,,,81,48,31,82,98,340,55,Pass
Std1272,Amit,Male,15,8,B,Delhi,62,99,84,35,79,359,56,Pass
Std1273,John,Female,10,9,B,Mumbai,73,96,30,54,76,329,66,Fail
Std1274,Amit,Male,14,9,,Mumbai,100,17,34,48,60,259,89,Pass
Std1275,David,Male,,10,,Chennai,31,82,68,44,91,316,59,Pass
Std1276,David,Female,16,9,C,Hyderabad,41,86,,58,84,269,55,Fail
Std1277,Priya,Male,14,10,,,48,18,94,32,46,238,91,Pass
Std1278,David,Unknown,17,9,A,,35,8,7,27,91,168,74,Pass
Std1279,Priya,Male,14,8,A,Delhi,100,67,97,59,57,380,69,
Std1280,Amit,Male,13,8,A,Hyderabad,50,72,28,38,14,202,64,Pass
Std1281,Amit,Female,16,8,A,Delhi,46,1,73,86,12,218,65,Pass
Std1282,Priya,Male,17,8,,Hyderabad,14,78,49,66,97,304,97,
Std1283,Priya,Male,11,8,C,Delhi,72,83,45,79,84,363,68,Pass
Std1284,Amit,Male,13,10,B,Delhi,25,21,22,50,28,146,78,Pass
Std1285,Priya,Female,16,10,,Hyderabad,75,56,22,74,0,227,90,Pass
Std1286,Amit,Female,10,9,A,Chennai,69,44,30,13,43,199,58,Pass
Std1287,Amit,Male,15,8,,Delhi,23,92,75,0,45,235,58,Pass
Std1288,,Unknown,10,10,A,Chennai,87,27,40,65,81,300,83,
Std1289,John,Female,14,9,A,Delhi,98,80,94,84,37,393,60,Fail
Std1290,Amit,Female,14,8,,,70,95,89,47,70,371,51,
Std1291,David,Female,10,10,C,Mumbai,3,19,45,71,66,204,52,Pass
Std1292,Priya,Female,,8,C,Mumbai,93,52,75,82,47,349,92,Pass
Std1293,John,Male,16,8,A,,59,78,3,76,89,305,72,
Std1294,Priya,Unknown,14,8,B,Hyderabad,90,87,90,77,13,357,70,Pass
Std1295,Sara,Female,10,8,A,Delhi,26,56,89,36,5,212,80,Fail
Std1296,Priya,Female,10,10,C,Mumbai,56,27,45,38,21,187,79,Fail
Std1297,David,Male,,10,A,Delhi,120,11,72,87,63,353,84,
Std1298,Priya,Male,10,8,A,Delhi,37,12,72,13,17,151,67,Pass
Std1299,Priya,Female,10,9,A,Mumbai,88,17,18,61,91,275,85,Pass
Std1300,David,Unknown,17,8,B,Mumbai,8,96,72,8,95,279,78,Fail
Std1301,David,Unknown,14,9,A,Delhi,,15,24,43,92,174,58,Pass
Std1302,Sara,Male,13,9,A,Mumbai,,75,63,35,52,225,94,Pass
Std1303,Priya,Female,10,9,A,Hyderabad,52,93,69,81,13,308,84,
Std1304,,Male,15,8,A,Delhi,86,49,39,41,32,247,61,
Std1305,Sara,Male,13,8,B,,63,44,22,35,78,242,87,Fail
Std1306,,Unknown,,9,C,,17,54,62,33,25,191,88,Pass
Std1307,Sara,Male,13,9,,Mumbai,81,40,4,83,24,232,79,Pass
Std1308,Priya,Male,10,8,B,Delhi,38,,11,91,15,155,90,Pass
Std1309,Amit,Unknown,14,8,C,,30,17,7,83,50,187,97,Pass
Std1310,Amit,Female,,8,C,Mumbai,32,31,29,38,27,157,90,Pass
Std1311,Priya,Female,,9,C,Hyderabad,84,35,77,24,58,278,86,Fail
Std1312,Sara,Female,,9,A,Hyderabad,19,82,28,19,100,248,77,Pass
Std1313,John,Male,12,9,B,Delhi,91,10,2,66,24,193,83,Pass
Std1314,Sara,Unknown,,10,C,Delhi,54,31,67,97,91,340,90,Pass
Std1315,Sara,Female,11,9,,Delhi,,70,61,30,43,204,90,
Std1316,Sara,Male,,8,,Mumbai,48,76,0,7,13,144,84,Pass
Std1317,,Male,,9,A,Delhi,9,76,42,76,96,299,69,Pass
Std1318,Priya,Unknown,10,9,C,Delhi,57,92,78,51,53,331,72,Fail
Std1319,Amit,Male,14,8,B,Chennai,76,77,25,84,5,267,80,Fail
Std1320,Priya,Unknown,17,8,A,Delhi,61,36,16,40,81,234,84,Pass
Std1321,Priya,Male,10,8,A,,74,99,43,87,86,389,64,
Std1322,Priya,Male,10,10,C,Delhi,51,88,91,17,75,322,,Fail
Std1323,Amit,Unknown,15,9,A,Chennai,68,3,22,92,15,200,55,Pass
Std1324,Amit,Female,12,8,B,Delhi,64,84,41,3,98,290,78,
Std1325,Sara,Male,11,9,B,Delhi,88,38,7,83,57,273,69,Fail
Std1326,Priya,Male,14,8,A,,53,26,2,63,58,202,73,
Std1327,John,Unknown,15,9,A,Chennai,69,66,18,37,84,274,76,Fail
Std1328,,Male,16,8,C,Delhi,4,77,75,33,75,264,66,Fail
Std1329,,Male,12,9,A,Chennai,,65,90,53,64,272,59,
Std1330,Amit,Female,13,9,,Delhi,46,24,18,51,17,156,69,Pass
Std1331,Priya,Female,12,8,A,,89,95,99,49,63,395,50,Pass
Std1332,Priya,Male,18,8,B,Delhi,68,50,14,94,0,226,50,
Std1333,Priya,Female,15,9,B,Delhi,76,37,67,4,67,251,83,Fail
Std1334,David,Male,18,9,C,Hyderabad,81,82,46,74,94,377,200,Fail
Std1335,Sara,Female,18,9,,Chennai,10,6,9,90,6,121,98,Fail
Std1336,Priya,Female,14,9,C,Chennai,13,100,47,73,70,303,58,Fail
Std1337,Sara,F,12,10,B,Mumbai,98,,90,24,55,267,72,Fail
Std1338,Priya,Female,14,10,B,Delhi,31,30,84,43,74,262,68,Pass
Std1339,John,Unknown,17,10,A,Delhi,84,63,50,92,61,350,80,Fail
Std1340,Sara,Male,14,8,,,85,49,75,91,65,365,84,
Std1341,Priya,Unknown,15,8,A,Delhi,45,14,12,28,99,198,50,Fail
Std1342,,Unknown,11,10,A,,21,30,43,87,22,203,94,Fail
Std1343,Amit,Female,17,9,C,,82,63,38,68,88,339,81,Pass
Std1344,Sara,Female,11,9,A,Hyderabad,78,81,41,81,74,355,98,Pass
Std1345,,Female,12,8,A,Delhi,5,76,17,100,22,220,80,Pass
Std1346,,Unknown,13,9,A,Hyderabad,72,9,20,60,93,254,69,Fail
Std1347,,Male,,8,A,Mumbai,82,67,93,85,16,343,50,Pass
Std1348,David,Male,,10,,Chennai,86,1,55,45,13,200,99,Fail
Std1349,Amit,Female,16,8,A,,82,46,,64,49,241,77,Pass
Std1350,Amit,Male,18,10,B,,51,40,81,38,84,294,,Pass
Std1351,Priya,Male,15,8,B,Hyderabad,96,16,62,21,76,271,68,
Std1352,David,Female,11,9,,Delhi,42,49,83,84,77,335,88,
Std1353,,Female,16,9,C,Chennai,,72,40,71,41,224,64,Pass
Std1354,Amit,Female,10,8,A,,55,53,22,23,64,217,100,
Std1355,Amit,Unknown,14,10,A,Hyderabad,13,46,90,37,49,235,50,Pass
